score,match_label,tier,company,title,department,location,posted,match_path,score_detail,url,ats
17,â˜…â˜…â˜… Strong,T1,Amgen,"AVP, Clinical Data Management",,India - Hyderabad,,D1-title,Seniority=5 | Title=7 | Clusters=4 | Dept=0 | Tier=1,https://careers.amgen.com/job/India---Hyderabad/AVP--Clinical-Data-Management_R-222164,Workday
17,â˜…â˜…â˜… Strong,T1,Eli Lilly,"Senior Director, DDCS Data Sciences & Digital Transformation",,"US, Indianapolis IN",,D1-title,Seniority=5 | Title=7 | Clusters=4 | Dept=0 | Tier=1,https://careers.lilly.com/job/US-Indianapolis-IN/Senior-Director--DDCS-Data-Sciences---Digital-Transformation_R-101573-1,Workday
17,â˜…â˜…â˜… Strong,T1,Merck (MSD),"AVP, Clinical Data Management",,USA - New Jersey - Rahway,,D1-title,Seniority=5 | Title=7 | Clusters=4 | Dept=0 | Tier=1,https://jobs.merck.com/job/USA---New-Jersey---Rahway/AVP--Clinical-Data-Management_R387333,Workday
16,â˜…â˜…â˜… Strong,T2,Regeneron,"Senior Director, External Data Acquisition & Delivery",,3 Locations,,D1-title,Seniority=5 | Title=7 | Clusters=3 | Dept=0 | Tier=1,https://careers.regeneron.com/job/Warren/Senior-Director--External-Data-Acquisition---Delivery_R45856,Workday
15,â˜…â˜…â˜… Strong,T1,Johnson & Johnson,"Senior Director, R&D Data Science & Digital Health, Real-World Evidence (RWE), Across Therapeutic Areas",,5 Locations,,D1-title,Seniority=5 | Title=7 | Clusters=2 | Dept=0 | Tier=1,https://jobs.jnj.com/job/Titusville-New-Jersey-United-States-of-America/Senior-Director--R-D-Data-Science---Digital-Health--Real-World-Evidence--RWE---Across-Therapeutic-Areas_R-035916,Workday
15,â˜…â˜…â˜… Strong,T2,Regeneron,"Senior Director, Digital Transformation Operations Lead",,3 Locations,,D1-title,Seniority=5 | Title=7 | Clusters=2 | Dept=0 | Tier=1,https://careers.regeneron.com/job/TARRYTOWN/Senior-Director--Digital-Transformation-Operations-Lead_R45895,Workday
14,â˜…â˜…  Good,T1,Eli Lilly,Associate Director - Enterprise Data Platforms Operations,,"US, Indianapolis IN",,D1-title,Seniority=2 | Title=7 | Clusters=4 | Dept=0 | Tier=1,https://careers.lilly.com/job/US-Indianapolis-IN/Associate-Director---Enterprise-Data-Platforms-Operations_R-100827-1,Workday
14,â˜…â˜…  Good,T1,Eli Lilly,Director/Senior Director/ Executive Director: Digital Innovation & Technology Strategy – Global PK/PD & Pharmacometrics,,2 Locations,,D1-title,Seniority=5 | Title=4 | Clusters=4 | Dept=0 | Tier=1,https://careers.lilly.com/job/US-Indianapolis-IN/Digital-Innovation---Technology-Strategy---Global-PK-PD---Pharmacometrics_R-99374,Workday
14,â˜…â˜…  Good,T1,Johnson & Johnson,"Senior Director, R&D Data Science & Digital Health –  Ophthalmology",,4 Locations,,D1-title,Seniority=5 | Title=7 | Clusters=1 | Dept=0 | Tier=1,https://jobs.jnj.com/job/Cambridge-Massachusetts-United-States-of-America/Senior-Director--R-D-Data-Science---Digital-Health----Ophthalmology_R-037220,Workday
14,â˜…â˜…  Good,T2,Exelixis,"Senior Director, Clinical Data Management",,"Alameda, CA",,D1-title,Seniority=5 | Title=7 | Clusters=1 | Dept=0 | Tier=1,https://exelixis.com/careers/job/Alameda-CA/Senior-Director--Clinical-Data-Management_JR6537,Workday
14,â˜…â˜…  Good,T2,Neurocrine Biosciences,"Sr. Director, Data Platforms and Research Solutions - Remote eligible",,US CA San Diego,,D1-title,Seniority=3 | Title=7 | Clusters=3 | Dept=0 | Tier=1,https://www.neurocrine.com/careers/job/US-CA-San-Diego/Sr-Director--Data-Platforms-and-Research-Solutions---Remote-eligible_R6538,Workday
13,â˜…â˜…  Good,T1,Johnson & Johnson,"Director, R&D Data Science, Data Products - Oncology",,"Titusville, New Jersey, United States of America",,D1-title,Seniority=3 | Title=7 | Clusters=2 | Dept=0 | Tier=1,https://jobs.jnj.com/job/Titusville-New-Jersey-United-States-of-America/Director--R-D-Data-Science--Data-Products---Oncology_R-035883,Workday
13,â˜…â˜…  Good,T2,Regeneron,"Director, Clinical Data Management Reporting",,2 Locations,,D1-title,Seniority=3 | Title=7 | Clusters=2 | Dept=0 | Tier=1,https://careers.regeneron.com/job/Warren/Director--Clinical-Data-Management-Reporting_R44197,Workday
13,â˜…â˜…  Good,T2,Vertex Pharmaceuticals,"Director, Data Governance & Engineering, Research",,"Boston, MA",,D1-title,Seniority=3 | Title=7 | Clusters=2 | Dept=0 | Tier=1,https://www.vrtx.com/careers/job/Boston-MA/Director--Engineering-and-Data-Governance--Research_REQ-26337,Workday
