score,match_label,tier,company,title,department,location,posted,match_path,score_detail,url,ats
14,Good,T1,Takeda,Head of R&D Medical DDT Data Governance & Modeling,,"Boston, MA",,D1-title,Seniority=4 | Title=7 | Clusters=2 | Dept=0 | Tier=1,https://www.takeda.com/careers/job/Boston-MA/Head-of-R-D-Medical-DDT-Data-Governance---Modeling_R0179023,Workday
14,Good,T2,Regeneron,Senior Director Clinical Data Management,,Remote - India,,D1-title,Seniority=5 | Title=7 | Clusters=1 | Dept=0 | Tier=1,https://careers.regeneron.com/job/Remote---India/Senior-Director-Clinical-Data-Management_R45840,Workday
12,Good,T1,Johnson & Johnson,"Associate Director, Transcend R&D Data Management",,"Beerse, Antwerp, Belgium",,D1-title,Seniority=2 | Title=7 | Clusters=2 | Dept=0 | Tier=1,https://jobs.jnj.com/job/Beerse-Antwerp-Belgium/Associate-Director--Transcend-R-D-Data-Management_R-069375-1,Workday
11,Good,T1,Pfizer,"Director, AI Engineering--Clinical Development and Operations (CD&O)",,5 Locations,,D1-title,Seniority=4 | Title=4 | Clusters=2 | Dept=0 | Tier=1,https://careers.pfizer.com/job/United-States---New-York---New-York-City/Director--AI-Engineering--Clinical-Development-and-Operations--CD-O-_4955843-1,Workday
10,Possible,T2,Beam Therapeutics,"Associate Director / Director, Data Management",Biometrics,"Cambridge, MA",2026-04-23,D3-dept,Seniority=2 | Title=4 | Clusters=1 | Dept=2 | Tier=1,https://job-boards.greenhouse.io/beamtherapeutics/jobs/8521485002,Greenhouse
8,Possible,T1,Novartis,Global Head - Global Clinical Operations (GCO) - Technology & AI,,London (The Westworks),,D1-title,Seniority=4 | Title=0 | Clusters=3 | Dept=0 | Tier=1,https://careers.novartis.com/job/London-The-Westworks/Global-Head---Global-Clinical-Operations--GCO----Technology---AI_REQ-10076136,Workday
8,Possible,T1,Novartis,Global Head - Global Clinical Operations (GCO) - Technology & AI,,Basel (City),,D1-title,Seniority=4 | Title=0 | Clusters=3 | Dept=0 | Tier=1,https://careers.novartis.com/job/Basel-City/Global-Head---Global-Clinical-Operations--GCO----Technology---AI_REQ-10075792-1,Workday
8,Possible,T1,Novartis,Global Head - Global Clinical Operations (GCO) - Technology & AI,,East Hanover,,D1-title,Seniority=4 | Title=0 | Clusters=3 | Dept=0 | Tier=1,https://careers.novartis.com/job/East-Hanover/Global-Head---Global-Clinical-Operations--GCO----Technology---AI_REQ-10075793,Workday
8,Possible,T1,Sanofi,Global Head of Clinical Data and Business Strategy,,2 Locations,,D1-title,Seniority=4 | Title=0 | Clusters=3 | Dept=0 | Tier=1,https://careers.sanofi.com/job/Morristown-NJ/Global-Head-of-Clinical-Data-and-Business-Strategy_R2852799-1,Workday
7,Possible,T1,Sanofi,"Senior Director, Medical Affairs Data Analytics and Insights ",,2 Locations,,D1-title,Seniority=5 | Title=0 | Clusters=1 | Dept=0 | Tier=1,https://careers.sanofi.com/job/Morristown-NJ/Senior-Director--Medical-Affairs-Data-Analytics-and-Insights-_R2829154,Workday
6,Weak,T1,Amgen,Director Data Science,,India - Hyderabad,,D1-title,Seniority=4 | Title=0 | Clusters=1 | Dept=0 | Tier=1,https://careers.amgen.com/job/India---Hyderabad/Director-Data-Science_R-240318,Workday
6,Weak,T1,Gilead Sciences,Executive Director of Clinical Data Engineering & Analytics (CDEA),,United States - California - Foster City,,D1-title,Seniority=3 | Title=0 | Clusters=2 | Dept=0 | Tier=1,https://jobs.gilead.com/job/United-States---California---Foster-City/Executive-Director-of-Clinical-Data-Engineering---Analytics--CDEA-_R0051540,Workday
5,Weak,T1,Bristol Myers Squibb,"Associate Director, Data Science",,Uxbridge - GB,,D1-title,Seniority=2 | Title=0 | Clusters=2 | Dept=0 | Tier=1,https://careers.bms.com/job/Uxbridge---GB/Associate-Director--Data-Science_R1600843,Workday
5,Weak,T3,ICON plc (incl. PRA),"Director, Data Science (Feasibility Site Activation)",,2 Locations,,D1-title,Seniority=4 | Title=0 | Clusters=1 | Dept=0 | Tier=0,https://careers.iconplc.com/job/US-Blue-Bell-ICON/Director--Data-Science--Feasibility-Site-Activation-_JR150669,Workday
5,Weak,T3,PPD / Thermo Fisher,"Director of Data, Insights & Customer Experience",,"Remote, North Carolina, USA",,D1-title,Seniority=4 | Title=0 | Clusters=1 | Dept=0 | Tier=0,https://jobs.thermofisher.com/job/Remote-North-Carolina-USA/Director-of-Data--Insights---Customer-Experience_R-01347143-1,Workday
